OBJECTID,LICENSE,TRADE_NAME,APPLICANT,CLASS,ADDRESS,ADDRID,X,Y,STATUS,TYPE,BREW_PUB,ENTERTAINMENT,SALES_CONSUMPTION,SIDEWALK_CAFE,SUMMER_GARDEN,TASTING,WINE_PUB,WARD,ZIPCODE,SMD,ANC,COVERCHARGE,DANCING,OFFPREMISESTORAGE,STORAGEFACILITY,DISTILLERY_PUB,LONGITUDE,LATITUDE,TOTAL_CAPACITY,GAMES_OF_SKILL,SPORTS_WAGGERING
1889,ABRA-114272,TBD,Gladys G. Nunez,C,3931 14TH ST NW,224892,397191.57,141294.46,Safekeeping,Restaurant,,,,,,,,Ward 4,20011,SMD 4C05,ANC 4C,,,,,,-77.03239408,38.93953448,70,,
1890,ABRA-114281,The Admiral,"Mission Group Four, LLC",C,1 DUPONT CIR NW,241055,396140.8,137911.97,Active,Restaurant,,CHECKED,,CHECKED,,,,Ward 2,20036,SMD 2B02,ANC 2B,,,,,,-77.04449525,38.90906029,199,,
1891,ABRA-114288,Quilox Restaurant and Lounge,"Quilox, LLC",C,7303 GEORGIA AVE NW,254735,397734.53,145619.58,Active,Restaurant,,CHECKED,,,,,,Ward 4,20012,SMD 4B01,ANC 4B,,,,,,-77.02614555,38.97849785,49,,
1892,ABRA-114299,Queen's Restaurant and Lounge,"Queen of Sheba 2, Inc.",C,1503 9TH ST NW,225575,397947.69,138000.39,Active,Tavern,,CHECKED,,,,,,Ward 6,20001,SMD 6E01,ANC 6E,,,,,,-77.0236627,38.90986255,100,,
1893,ABRA-114310,Rose's at Home,"RRG Catering,LLC",Caterer,717 8TH ST SE,77418,400404.99,134756.63,Active,Caterer,,,,,,,,Ward 6,20003,SMD 6B03,ANC 6B,,,,,,-76.99533246,38.88064387,,,
1894,ABRA-114330,Peruvian Brothers,Peruvian Brothers LLC,C,1280 4th ST NE,319539,400044.91,137908.75,Active,Tavern,,,,,,,,Ward 5,20002,SMD 5D01,ANC 5D,,,,,,-76.9994822,38.90903942,99,,
1895,ABRA-114355,El Cielo Restaurant,"Proteo, LLC",C,1280 4th ST NE,319539,400044.91,137908.75,About to Expire,Tavern,,,,CHECKED,CHECKED,,,Ward 5,20002,SMD 5D01,ANC 5D,,,,,,-76.9994822,38.90903942,260,,
1896,ABRA-114396,Hotel Rouge,Valor Hospitality Partners LLC,C,1315 16TH ST NW,242317,396866.29,137823.52,Active,Hotel,,CHECKED,,,CHECKED,,,Ward 2,20036,SMD 2B05,ANC 2B,,,,,,-77.0361302,38.90826638,139,,
1897,ABRA-114428,St. Vincent Wine,"Wine Seller, LLC",C,3212 GEORGIA AVE NW,218157,397949.28,140285.07,Active,Tavern,,,,,CHECKED,,,Ward 1,20010,SMD 1A09,ANC 1A,,,,,,-77.02365119,38.93044402,110,,
1898,ABRA-114429,Restaurant Associates,"Restaurant Associates of New York, LLC",Caterer,"25 MASSACHUSETTS AVE NW, STE 900",300403,399101.44,136736.16,Active,Caterer,,,,,,,,Ward 6,20001,SMD 6E07,ANC 6E,,,,,,-77.01035855,38.89847585,,,
1899,ABRA-114431,Amparo Fondita,Amparo Fondita L.L.C.,C,1280 4TH ST NE,319539,400044.91,137908.75,405.1 New Const,Tavern,,,,,CHECKED,,,Ward 5,20002,SMD 5D01,ANC 5D,,,,,,-76.9994822,38.90903942,99,,
1900,ABRA-114465,SAKURAMEN Ramen Bar,Sakuramen LLC,C,2441 18TH ST NW,235585,396359.09,139299.89,Active,Restaurant,,,,,,,,Ward 1,20009,SMD 1C07,ANC 1C,,,,,,-77.04198581,38.92156373,48,,
1901,ABRA-114466,EatBar,"Eighth St, LLC",C,413 8TH ST SE,149575,400409.91,135046.44,Safekeeping,Restaurant,,,,,,,,Ward 6,20003,SMD 6B03,ANC 6B,,,,,,-76.99527559,38.88325459,49,,
1902,ABRA-114467,Isshin Ramen,"Yixin Ramen Restaurant, Inc.",C,2418 18TH ST NW,235399,396315.52,139261.94,Active,Restaurant,,,,,,,,Ward 1,20009,SMD 1C03,ANC 1C,,,,,,-77.04248804,38.92122201,23,,
1903,ABRA-114491,InterContinental Washington D.C. – The Wharf/Moon Rabbit,"Carr Wharf 3B Hotel Lessee, LLC",C,801 WHARF ST SW,312937,397826.68,134620.13,Active,Hotel,,CHECKED,,,CHECKED,,,Ward 6,20024,SMD 6D04,ANC 6D,,CHECKED,,,,-77.02504722,38.87941163,,,
1904,ABRA-114514,Mechos Dominican Kitchen,Mechos Dominican Kitchen of Dakota Crossing LLC,C,2450 MARKET ST NE,309921,404113.05,139237.63,Active,Restaurant,,,,,CHECKED,,,Ward 5,20018,SMD 5C03,ANC 5C,,,,,,-76.95257,38.92100112,113,,
1905,ABRA-114522,Stein’s Cafe,"Bars by Breedlove, LLC",C,4630 14TH ST NW,255573,397138.79,142123.13,Active,Restaurant,,CHECKED,,,,,,Ward 4,20011,SMD 4C03,ANC 4C,,,,,,-77.03300633,38.94699954,20,,
1906,ABRA-114547,Harvard Liquors,Hann's Harvard Inc.,A,2901 SHERMAN AVE NW,232642,397772.8,139900.76,Active,Retail - Liquor Store,,,,,,CHECKED,,Ward 1,20001,SMD 1B09,ANC 1B,,,,,,-77.02568531,38.92698161,,,
1907,ABRA-114559,Church Nightclub,"Town2.0, LLC",C,1001 NORTH CAPITOL ST NE,285738,399245.11,137214.26,405.1 New Const,Nightclub,,,,CHECKED,,,,Ward 6,20002,SMD 6C06,ANC 6C,,,,,,-77.00870286,38.90278288,524,,
1908,ABRA-114561,Absolute Noodle,"Charoen DC, Inc",C,772 5TH ST NW,302658,398335.81,136815.43,Active,Restaurant,,,,CHECKED,,,,Ward 2,20001,SMD 2C03,ANC 2C,,,,,,-77.01918489,38.89918916,49,,
1909,ABRA-114565,La Casita Pupuseria & Comedor,"La Casita Partners DC, Inc.",C,"1280 4th ST NE, #15",319539,400044.91,137908.75,Active,Restaurant,,,,,CHECKED,,,Ward 5,20002,SMD 5D01,ANC 5D,,,,,,-76.9994822,38.90903942,50,,
1910,ABRA-114571,"The Natural Wine Shoppe, LLC","The Natural Wine Shoppe, LLC",B,"2800 8TH ST NE, UNIT 3151",289739,400403.21,139790.6,Active,Internet,,,,,,,,Ward 5,20017,SMD 5E01,ANC 5E,,,,,,-76.99535002,38.92599165,,,
1911,ABRA-114613,Thompson Washington DC/Anchovy Social/Maialino Mare,"Third and Tingey Hotel Owner, LLC / 215 Tingey Street SE F&B Management, LLC",C,221 Tingey ST SE,318195,399767.2,134095.76,Active,Hotel,,CHECKED,,,CHECKED,,,Ward 6,20003,SMD 6D07,ANC 6D,CHECKED,CHECKED,,,,-77.00268281,38.87469056,225,,
1912,ABRA-114614,Scheele's Market,"HSW 35, Inc.",B,1331 29TH ST NW,223561,394970.65,137773.6,Active,Retail - Class B,,,,,,,,Ward 2,20007,SMD 2E06,ANC 2E,,,,,,-77.05798567,38.90780788,,,
1913,ABRA-114634,Prego Again,"Ganada, LLC",B,1617 17TH ST NW,300166,396686.02,138214.07,Active,Retail - Class B,,,,,,,,Ward 2,20009,SMD 2B04,ANC 2B,,,,,,-77.03821051,38.9117836,,,
1914,ABRA-114637,Ella Grace,"Ella Grace, LLC",C,1421 H ST NE,286170,401324.16,136909.49,Active,Tavern,,,,,CHECKED,,,Ward 6,20002,SMD 6A06,ANC 6A,,,,,,-76.98473482,38.90003707,41,,
1915,ABRA-114690,Louis Africa,"Louis Africa, LLC",A,"1905 9TH ST NW, UNIT 1",239848,397944.36,138675.16,About to Expire,Retail - Liquor Store,,,,,,CHECKED,,Ward 1,20001,SMD 1B02,ANC 1B,,,,,,-77.02370311,38.91594109,,,
1916,ABRA-114693,Rumi's Kitchen,"Rumi's DC, LLC",C,655 NEW YORK AVE NW,311745,398165.94,137290.47,Active,Restaurant,,,,,,,,Ward 6,20001,SMD 6E04,ANC 6E,,,,,,-77.02114443,38.90346782,154,,
1917,ABRA-114703,Hyatt Place Washington DC/Georgetown/West End,"2121 M Street, LLC",C,2121 M ST NW,310698,395823.06,137519.47,Active,Hotel,,,,,CHECKED,,,Ward 2,20037,SMD 2A06,ANC 2A,,,,,,-77.0481563,38.90552306,168,,
1918,ABRA-114712,Midnight Delicatessen,"Dellomar, LLC",B,4701 GEORGIA AVE NW,252099,397705.21,142161.74,Active,Retail - Grocery,,,,,,,,Ward 4,20011,SMD 4D06,ANC 4D,,,,,,-77.02647235,38.94734901,,,
1919,ABRA-114756,Epicurean and Company,President and Directors of Georgetown College,C,3700 O ST NW,291456,393691.01,137740.65,Active,Restaurant,,CHECKED,,,,,,Ward 2,20057,SMD 2E08,ANC 2E,,,,,,-77.07273891,38.90750247,297,,
1920,ABRA-114757,The Gold Room Bar/ Lounge,"The Gold Room Bar and Lounge, LLC",C,1370 H ST NE,65570,401217.16,136951.77,Active,Tavern,,CHECKED,,,CHECKED,,,Ward 6,20002,SMD 6A06,ANC 6A,CHECKED,CHECKED,,,,-76.98596826,38.9004181,105,,
1921,ABRA-114758,Bulldog Tavern,President and Directors of Georgetown College,C,3700 O ST NW,291456,393691.01,137740.65,Active,Restaurant,,CHECKED,,,CHECKED,,,Ward 2,20057,SMD 2E08,ANC 2E,,,,,,-77.07273891,38.90750247,188,,
1922,ABRA-114767,Paddywax Candle Bar,"Candle Bar Stores (The), LLC",C,1065 WISCONSIN AVE NW,273842,394582,137408.91,Active,Multipurpose,,,,,,,,Ward 2,20007,SMD 2E05,ANC 2E,,,,,,-77.06246371,38.90452032,46,,
1923,ABRA-114779,Ruth's Chris Steak House,"RCSH Operations, LLC",C,"2001 K ST NW, #100L",242788,396060.76,137279.35,Active,Restaurant,,,,,,,,Ward 2,20036,SMD 2A06,ANC 2A,,,,,,-77.04541446,38.90336074,316,,
1924,ABRA-114799,Swahili Village The Consulate,"Swahili Village M Street, LLC",C,1990 M ST NW,241073,396138.83,137513.34,Issued,Restaurant,,CHECKED,,,,,,Ward 2,20036,SMD 2B06,ANC 2B,,,,,,-77.04451573,38.90546928,156,,
1925,ABRA-114801,Rebel Taco Cantina,"Rebel Taco U Street, LLC",C,1214 U ST NW,218057,397515.5,138765.96,Active,Restaurant,,,,,,,,Ward 1,20009,SMD 1B12,ANC 1B,,,,,,-77.02864853,38.91675794,110,,
1926,ABRA-114842,PUDDIN',PUDDIN' LLC,C,1309 5TH ST NE,301991,400203.8,137872.89,Active,Restaurant,,,,,,,,Ward 5,20002,SMD 5D01,ANC 5D,,,,,,-76.99765027,38.90871669,10,,
1927,ABRA-114937,Death Punch/Shabu Plus & Shibuya Eatery,"Iron Works, LLC",C,2321 18TH ST NW,235597,396397.78,139156.84,Active,Restaurant,,,,,CHECKED,,,Ward 1,20009,SMD 1C07,ANC 1C,,,,,,-77.04153889,38.92027525,170,,
1928,ABRA-114952,Bluestone Lane,"BL 1701 14th DC, LLC",C,"1701 14TH ST NW, #3",238070,397250.73,138324.13,Active,Restaurant,,,,,,,,Ward 2,20009,SMD 2F01,ANC 2F,,,,,,-77.03169979,38.91277734,71,,
1929,ABRA-114978,S&S Wine & Spirits,"6925 DC, Inc.",A,6925 4TH ST NW,251670,398461.19,145179.47,Active,Retail - Liquor Store,,,,,,CHECKED,,Ward 4,20012,SMD 4B02,ANC 4B,,,,,,-77.01775825,38.97453514,,,
1930,ABRA-114980,Taqueria Nacional,"Tacopup, LLC",C,3213 MOUNT PLEASANT ST NW,233545,396683.48,140409.7,Active,Tavern,,,,,,,,Ward 1,20010,SMD 1D04,ANC 1D,,,,,,-77.03825041,38.93156286,15,,
1931,ABRA-114984,King Street Oyster Bar,"King Street Oyster Bar DC, LLC",D,22 M ST NE,313406,399318.94,137558.18,Active,Restaurant,,,,,CHECKED,,,Ward 6,20002,SMD 6C06,ANC 6C,,,,,,-77.00785204,38.9058811,179,,
1932,ABRA-115024,Last Call Bar,Last Call LLC,C,"1301 4th ST NE, UNIT A",68797,400106.7,137913.77,Active,Tavern,,,,,,,,Ward 5,20002,SMD 5D01,ANC 5D,,,,,,-76.99876979,38.90908497,27,,
1933,ABRA-115028,Le Mirch,Jahan Incorporated,C,1736 CONNECTICUT AVE NW,242586,395998.63,138429.04,Active,Restaurant,,,,,,,,Ward 2,20009,SMD 2B01,ANC 2B,,,,,,-77.04613744,38.91371759,235,,
1934,ABRA-115031,Union Kitchen,"Union Kitchen, LLC",D,1301 K ST NW,240647,397352.63,137230.54,Active,Restaurant,,,,,,,,Ward 2,20005,SMD 2F08,ANC 2F,,,,,,-77.03052064,38.90292621,40,,
1935,ABRA-115050,Buffalo & Bergen,Buffalo & Bergen LLC,Caterer,1309 5TH ST NE,301991,400203.8,137872.89,Active,Caterer,,,,,,,,Ward 5,20002,SMD 5D01,ANC 5D,,,,,,-76.99765027,38.90871669,,,
1936,ABRA-115069,Studio 52,Mrs X LLC,C,1508 OKIE ST NE,312674,401552,138627.67,Active,Tavern,,CHECKED,,,,,,Ward 5,20002,SMD 5D01,ANC 5D,CHECKED,,,,,-76.98210435,38.91551432,,,
1937,ABRA-115086,Howard Theatre,"Howard Theatre Entertainment LLC and Wolfgang Puck Catering and Events, LLC",C,620 T ST NW,238442,398170.46,138601.72,Active,Multipurpose,,,,,,,,Ward 1,20001,SMD 1B01,ANC 1B,,,,,,-77.02109581,38.91528002,550,,
1938,ABRA-115087,Wolfgang Puck Catering,"Wolfgang Puck Catering and Events, LLC",Caterer,620 T ST NW,238442,398170.46,138601.72,Active,Caterer,,,,,,,,Ward 1,20001,SMD 1B01,ANC 1B,,,,,,-77.02109581,38.91528002,,,
1939,ABRA-115103,Mayahuel Cocina Mexicana,"Take Massive Action, LLC",C,2605 24TH ST NW,219097,395460.87,139548.99,Active,Restaurant,,CHECKED,,CHECKED,,,,Ward 3,20008,SMD 3C02,ANC 3C,,,,,,-77.05234544,38.92380385,120,,
